Sentiment,tokens_text
Negative,stuck innarrow rut
Negative,dirty accessories new collection check collection
Negative,salvador debt officially downgraded meanwhile rest worlds drastically worsened value going continue increase fiat always done decrease governments adjust
Negative,disappointed metaverses like decentraland
Negative,gas got earth man made toxic country see stars dont feel like earth exsit feel like nothing real bleed move hurt feel
Negative,inevitable heading toward forlong time good bad physical virtual worlds collide
Negative,affected inflation
Negative,toxic
Negative,adverse
Negative,rising tensions
Negative,adverse audience
Negative,steady building buy dip panic sell either way still extremely early fill bags patient ignore fud watch ecosystem flourish naka blok link
Negative,forever starts venture gamify fashion retailing fast fashion brand hopping roblox bandwagon exclusive partnership gaming platform attempt advertise adverse audience
Negative,alliance system found game players form alliance form battling war system alliance
Negative,think live longer years willing permanently leave physical body becomeliving app
Negative,know yall missed gem bang
Negative,damn dude looks punishing absolutely stoked
Negative,shit fucking cringe
Negative,operation doge squeeze update shorts attacked shorts added letpush pain doge
Negative,forget get version rides see
Negative,wanderlust born askid real virtual worlds travel always clearly fired overlapping stim centers brain generation first grow foot planted realms
Negative,stealth launch happening tomorrow nov heard rumors chinese community bullish token launch amlfg check
Negative,woke news massive stolen openseaguess would call regulations insightful thread happened
Negative,want miss
Negative,panic bad sell
Negative,morgan stanley sees trillion market china alone via
Negative,new disturbing accounts sexual assaults zuckerbergnew virtual racking
Negative,come fear future came shape
Negative,next future set take market storm buy cry later bezoge
Negative,issuccessful left without attentionbelieve company best offer market
Negative,marketplace push native companies embrace disruptive new paradigm die nikephysical products like handcuffs marketplace force platforms move centralized fully decentralized
Negative,itmeta pumps coins watch dump rmrk ultra pyr derace blok chain wars
Negative,mentioning floki pup andstill think ita sleeping giant team hard work getting game developed
Negative,wipe dirt shoulder get real stay tuned
Negative,modelling phase riders almost complete next apply skin face hair texture sick gear items ready shred updates coming soon
Negative,could feel real life pain including bird pecking skin thanks japanese sta sun
Negative,solid overview crossovers battle passes fortnite changed game
Negative,cares nothing unleashed wants seems guess wants lots sex murder child
Negative,fashion ready luxury fashion stopped worrying embraced future shopping avatar attime kristen bateman
Negative,dmsoffcould share detail twin ourproject dapp potentially unique elements components coulda flop
Negative,lowest atm pump hard near future islong term target
Negative,bluzelle enters denomination based card battle game blz
Negative,per post imagine could use approach solve post traumatic stress idea thiss therean interesting model
Negative,embarrassed
Negative,sofew days agoasked feel narrative serious procrastination topichave finally decided get together write long winded review results aswell personal feel
Negative,wonder weatherlike turning crap
Negative,saw fast blew creators still doubting whatmissing
Negative,missed looking get ground floor ofreal game changer check launched community members less months old prepping launchphotorealistic virtual similar next level
Negative,estate investors going crazy lands
Negative,dump hard ampwill keep loading mlt
Negative,barrier entry actual assets expensive maybe offerschance something atbargain hey buymillion dollar house bay area could wrong going tohit
Negative,really tryna trap souls levels showing right face open iteasy see damn havebeen seeinglot lately smh
Negative,look big ass minute candle earlier today changed price zil itclose
Negative,working vibez entries chill come stop enjoy beats new channel point redemption censor mutes forsecond game plays censor bleep noise
Negative,much potential need mention everyone would crazy need
Negative,although markets currently intensely corrupt suffer skilled manipulation truly open markets
Negative,new drop
Negative,places practice advanced torture techniques
Negative,world needs seerosetta stone cultures affected world crisis short french animation happytrailsnft
Negative,seems weird imagine someone live hoursday years ago could imagine someone stare screen computer smartphone hoursday question live without hours screentimeday non sleeping hours
Negative,ruin reputation rename move
Negative,experience virtual worlds grows richer virtual crimes assault theft may become serious counterparts physical worlds consideredcrime
Negative,fellas hide wives put wet floor signs whenroll
Negative,whenfirst knew aboutthought itjusttypical platform butwas wrong folks theresomething esports aggregator specially gaming
Negative,true centralized fake takecut sale price leaving seller source
Negative,unarmed dangerous
Negative,usually hate flp extremely boolish bebluechip gaming max bid lfg pray
Negative,news title morgan bets broadcom building blocks digital nation
Negative,male female everything want sins shadow
Negative,although team working hard ittime overdrive wonstop working major leagues
Negative,happensll create anti group plan destroy animal lives matter
Negative,expectation back would anywhere near much adoption justfew years later move much faster investor assuming knows much time adoption take ismajor mistake
Negative,missed crocboy next moonshot
Negative,major corporations last monthannual meeting launchednew initiative defining building reality hard
Negative,get hacked change email phonenumber recover account
Negative,rough pet concepts incase pincers organically armoured body werenenough rough pet armoured metal spikes front claws try upset fellow rough legends pet
Negative,drop let buy
Negative,thinking joining someday crazy things happening right check tweet today mind blowing
Negative,new technology new risks new realities risks virtual world
Negative,converges neural networks equippedquantum technology tpus teach speed light would speed finding solutions worldhardest problems digital speaker full story
Negative,news title experts worry becomehaven child predators sault star
Negative,gonna missing making bags paper bags
Negative,great quote todayq ampwhen asked corporations building never trust anything canmake brain never trust anything canfigure makes money
Negative,first protest took place non profit superflus foundation staged metaversefirst ever protest samsung headquarters protest opposed commercialization via
Negative,build online security wall privacy keep fraudsters fromm wall dvpn
Negative,scared potential threats smartt contracts check thread got covered herewhy choose adrop avg trx
Negative,news title even withmarket correction real estate prices remain unscathed motley fool
Negative,poodl bullish multi listings includingtop rigged accepted collection month
Negative,kindleRi Ti wariseru metabasutohaHe ka netsutoShang no mouYi tsunoShi Jie  Guang Wen She Xin Shu  kindleBan  Gang Dao  Yu Shi  Zhu 
Negative,facebook would died slow death hadnthought centuries old rule often taught mbas applies everywhere donsalvage new thing else salvage start new thing
Negative,avoid falling victim donbuy unverified platforms unverified creators check see verified follow retweet posts
Negative,miss floki bet donwant miss marvin scooped flokimarketing director fully doxxed pump near donmiss
Negative,fast pass available give lifetime access every haunt build including stay tuned cutting edge
Negative,would ratherorneurochipvirtual world orpossible matrix freedom slavery time decide
Negative,sidelines plays mana sand flame hastiny market cap missed
Negative,crafted corpse offorgotten shiyokia interestingly skin tone changed adopted devilish green eyes think allegiance lies
Negative,decentraland promotes fight medical misinformation
Negative,tower sudden change upheaval chaos revelation awakening mystical major arcana card collection
Negative,see future people addicted wont know reality want
Negative,neal stephenson first use term novel snow crash hiro goes looks street sees buildings electric signs stretching
Negative,eat brains get paid mint forget
Negative,Fen kariyasukuiuto metabasuNei deZhao ru oYang Fu desuyo
Negative,collection shouldinvest drop donskip following
Negative,followers crazy news reaches creator practically
Negative,season sold much come first sneak peeks unique spaceship drop holders days
Negative,hell yeah bomb great see things propping upcanwait see guys bring artists coming rooooof
Negative,readywanna see klo top doubt onlyfew months orfew weeks
Negative,watched shopping video nowm dead inside
Negative,join fornight music hear tonightperformer upcoming drop also chat wisher artist latest drop girl streaming platforms
Negative,south africafinancial regulator plans introduce framework aimed protecting vulnerable investors report
Negative,organization takingwait see approach procrastinate peril says group chief executive technology cto herewhy
Negative,shit ifwould seen thiswould jumped whatfreakin steal
Negative,refined apes genesis collection limited exclusive coming soon
Negative,new drop
Negative,whistleblower fears metaplan
Negative,collect souls fallen adversaries make game token stake swap game getfree
Negative,amgoing steal
Negative,fire foxes coming
Negative,donwant miss launch
Negative,montega music drop aceasta este evolutia unirea facuta corect pentrufi pregatit
Negative,good sirlike wtf
Negative,receivedquestion managing blocked users cluster werenaware managing blocked users privacy safety settings account let know questions
Negative,drop thalia another galaxy girl added collection opensea
Negative,generated hippocampi accidentally posted account
Negative,get certainty make annualized start lose rblx drops buy call sell call sell put exp
Negative,arguably buzziest term therestill widespread confusion regarding exactly shocking statistics help learn
Negative,thing stupid justsims game
Negative,see everybody talking days whilem still struggling universe
Negative,find lonely robot unique lonely robot travelling throught unreal place donlet alone anymore
Negative,nothing old people use know anecdotally zuckown researchers told hence desperation make fetch happen
Negative,crazy
Negative,luna drop
Negative,scam accounts 
Negative,meta crash a huge swath of bullshit along with it
Negative,meta crash
Negative,meta bullshit 
Negative,luna
Negative,terra drop
Negative,terra
Negative,blockpage social media suggest similar pages block
Negative,closingask innocent souls needlessly lost lives terrifying circumstance need forgiven sins forgive sins
Negative,worries donneedsoul
Negative,morgan demo prior token release construction game morgan royal pvp weapons wait news mkt start
Negative,finna insane hours legendary artists worlds major partnerships lfg may
Negative,team crazy sitting idle planning join watch game make investment watch wait
Negative,hey guys devil maker get highest apr days check little devil collection opensea download app start playing today
Negative,food energy wars century alimentosenergia las guerras del siglo xxi
Negative,cardano sundaeswap cardstarter squabble failed promises investors
Negative,freinds drop washit even got takepic thatlit
Negative,stupid game virtual
Negative,dumb bad game virtual
Negative,last month arthur hayes bullish maybe hejust reflecting current sentimentpity fool ainlong
Negative,epic games creator fight apple google keep open ultimate battle enthusiast needs aware closed centralized open decentralized
Negative,much enjoyable experiences shit call today
Negative,wars must fought
Negative,worthless coin
Negative,missed follow join airdrop event regret
Negative,guys itgoing legend wait dary new drop guys coloris series
Negative,come tocritical crossroads sol team could serious trouble like fail behuge disgrace solana win cwar chicks
Negative,mean tell letting scammers use name scam people get together
Negative,type lies
Negative,losing interest
Negative,set biggest disruption society faced
Negative,going competitive territory behind war war
Negative,grateful time time ramp boring non businesses get stinky fiat
Negative,itsafe say inmarket hold nuts
Negative,drops point dow correction marks worst trading day since
Negative,literally confused look cyberbrokers floor price week ago massive pump goes meebits whatnext sleep
Negative,lies ahead open interpretation argue next big tech wave digital technologies watch
Negative,donever ashamed havendone yet keep pushing towards something personal goals whatever may make yourselfbetter personal
Negative,early warning services unveils synthetic fraud tool
Negative,critical
Negative,canafford miss tvk terra virtua
Negative,terra drop 
Negative,isdistraction real world andlot get lost
Negative,new drop opensea via
Negative,scared earthlings phase listed sold
Negative,wonder getting wrong order inside look like
Negative,unsold die
Negative,tagfreddy alsogreedytard greedy freddy
Negative,virtual billboards layer ghost ads
Negative,appleiphone soon scan ear solvebig problem spatial audio
Negative,agony
Negative,brainwashed
Negative,recrypto investor donget bags gaming soul zoo ufowill really feel sorry infew months time accumulate much possible
Negative,stop bigging shup mate nothing
Negative,commented prisoners short termthink maybe understand melittle
Negative,panic generates herd effect itnot good
Negative,hakkari yuksekova kaza sonucu sehit olan kahraman askerimiz jandarma uzman cavus ayberk soyutemiz ruhun sad olsun
Negative,missing
Negative,hard passd take
Negative,casino based russia charged five states fraud
Negative,first attempt build early wrong least gotcool video prove tried
Negative,cryptoes wading rooftop pool bucket hat gaaaaaanggg missing
Negative,day trembled lost breath fell abyss
Negative,lose money
Negative,losing money
Negative,broke
Negative,money broke
Negative,battle pups proud announce partnership adventure sovana battle pups battle create genesis character explore endless possibilities
Negative,sick losing money didget liquidated may arehopeless well guess mefi token invest trust handle moon mission
Negative,sick walker got first airdrop know tease butam bullish awesome
Negative,sale low price opensea via
Negative,ainno rest wicked work goes going looking partnership upcoming year could looking companies operate application takes little time set servers
Negative,new world hit defections tech giants battle talent build
Negative,look whatfound universe told probably nothing truth revealed soon
Negative,could biggest threat
Negative,activate stealth launch public mint officially open max per wallet bots allowed ascension fourth dimension begun
Negative,created generated faces look damn real via
Negative,ask questions first hell made looks good
Negative,canbelieveget work building suchwonderfully bizarre world cryptids voxels crude humorwas born
Negative,darkness time
Negative,pay earn gaming check gaming domains sale buy links sale
Negative,disturbing phenomena according
Negative,world building difficult many directions take question way
Negative,wealthy elite folk like want buy intosynthetic donwant buy synthetic diamonds hmmm fake shit okay long make money
Negative,already cows itvery sad kotaku
Negative,wealthy elite scam
Negative,according circumstancesfilmed game unfortunately see clip game start butcreatedoodle drawing using placewartanks
Negative,nice price action since investment fund badwas stilk unsure sold early learn every day trial error
Negative,insane reveal tomorrow minting continues till next friday beginning ofnext level takemoment look team hard work building wont regret
Negative,currently staked market cap low cap gem going pop day
Negative,contentious definition reality todaypanel discussion hosted
Negative,outside wants new marketplace anti
Negative,fuck future doninvest future arefuck asshole
Negative,employees think efforts combating misinformation change inadequate
Negative,lets get vra trending vra stops view fraud costs billions annually future coming soon like copy paste send
Negative,gon sell cents butjust might hold vra bag till cuz shit evolving real fast realities
Negative,buy pressure hodling burning utility hits add robinhood undershot bycountry mile
Negative,haveversion dick forever
Negative,hype could ruin literally
Negative,favorite sleeper anyone doubting inevitable mewnfeel sorry weak mind inari
Negative,token really ignored could possible later seebuy acquisitiontokenized facebook stock would meanbought video link
Negative,year old daughters favourite tfm sneaky thing hidden name morse code somewhere little puzzler rise
Negative,doubt
Negative,scam
Negative,bony bastards
Negative,time start collecting voltron limited supply
Negative,teaser first offering called hikari similar hearthstone video highlights projectlegitimacy far surpassed many others size long term play severely undervalued
Negative,virtual obsessions
Negative,original winamp founder hates
Negative,money wasting idiots amirite amiright
Negative,satanic evil materialized
Negative,unreal literally mortal combat apes check bought last month going see ifcan get another know
Negative,get angry wolf offset carbon footprint opensea
Negative,aquiunos meses poodl sin duda hara mas esta claro que mcap bajoestamos era los metaversosjuegos blockchainsera eso tambien
Negative,proud announce criminal personal injury employment disability bankruptcy attorney lee perlman joined first legal district
Negative,facebookplay complete social domination pcmag
Negative,new artist drop